episode,return,return_ma50
265,2.1986,2.3230
266,2.2191,2.3194
267,2.3022,2.3190
268,2.4965,2.3227
269,1.9139,2.3087
270,2.5504,2.3161
271,2.4682,2.3175
272,2.3293,2.3232
273,2.3342,2.3232
274,2.4278,2.3252
275,1.7188,2.3165
276,2.0219,2.3082
277,1.9367,2.3002
278,2.4850,2.3056
279,2.0801,2.2984
280,2.1136,2.2971
281,2.1796,2.2927
282,1.7659,2.2815
283,2.5516,2.2845
284,2.1689,2.2799
285,2.3100,2.2786
286,2.5429,2.2942
287,2.2227,2.2925
288,2.4000,2.2968
289,2.5331,2.2994
290,2.3582,2.2992
291,2.3320,2.2977
292,2.4000,2.2977
293,2.3770,2.2962
294,2.2724,2.2907
295,2.3411,2.2871
296,1.8540,2.2762
297,2.2562,2.2799
298,2.3398,2.2748
299,2.2687,2.2731
300,1.0586,1.0586
301,0.5527,0.8056
302,0.2148,0.6087
303,0.0441,0.4675
304,0.5354,0.4811
305,0.7882,0.5323
306,0.6957,0.5556
307,0.9114,0.6001
308,1.0300,0.6479
309,1.0632,0.6894
310,0.3864,0.6619
311,0.7187,0.6666
312,1.0272,0.6943
313,0.7818,0.7006
314,0.6168,0.6950
315,0.7730,0.6999
316,1.0267,0.7191
317,0.3543,0.6988
318,0.1619,0.6706
319,1.0056,0.6873
320,0.9304,0.6989
321,-0.0567,0.6646
322,1.2443,0.6898
323,0.2350,0.6708
324,0.8650,0.6786
325,0.7932,0.6830
326,0.4221,0.6733
327,0.0977,0.6528
328,0.6041,0.6511
329,0.7892,0.6557
330,1.1783,0.6726
331,0.8337,0.6776
332,0.8892,0.6840
333,0.4305,0.6765
334,1.1884,0.6912
335,0.8890,0.6967
336,0.4446,0.6899
337,1.5183,0.7117
338,0.7199,0.7119
339,0.5490,0.7078
340,1.1430,0.7184
341,0.7208,0.7185
342,0.7590,0.7194
343,0.6605,0.7181
344,0.4043,0.7111
345,0.9165,0.7156
346,0.1082,0.7026
347,0.0117,0.6882
348,0.8845,0.6922
349,0.8410,0.6952
350,1.2073,0.6982
351,0.5313,0.6978
352,1.0753,0.7150
353,0.9186,0.7325
354,0.7526,0.7368
355,1.2323,0.7457
356,0.8396,0.7486
357,0.8039,0.7464
358,0.6462,0.7387
359,0.8469,0.7344
360,0.7960,0.7426
361,0.2899,0.7340
362,0.6103,0.7257
363,1.6524,0.7431
364,0.7519,0.7458
365,1.0823,0.7520
366,0.2752,0.7370
367,0.0351,0.7306
368,0.2581,0.7325
369,0.4403,0.7212
370,1.5570,0.7337
371,1.1199,0.7573
372,0.8832,0.7500
373,0.9726,0.7648
374,1.2105,0.7717
375,0.9416,0.7747
376,0.4281,0.7748
377,1.5798,0.8044
378,0.6248,0.8049
379,0.3605,0.7963
380,1.3118,0.7989
381,0.4944,0.7922
382,-0.1534,0.7713
383,0.3270,0.7692
384,0.7333,0.7601
385,0.9264,0.7609
386,0.7894,0.7678
387,0.9046,0.7555
388,0.9301,0.7597
389,0.8321,0.7654
390,0.8432,0.7594
391,1.1616,0.7682
392,0.2750,0.7585
393,1.1819,0.7689
394,0.9786,0.7804
395,0.5331,0.7728
396,1.0623,0.7918
397,1.1844,0.8153
398,1.1927,0.8215
399,0.2750,0.8101
400,1.5026,0.8160
401,0.2824,0.8111
402,1.0433,0.8104
403,1.2256,0.8166
404,0.8268,0.8180
405,0.5301,0.8040
406,0.9546,0.8063
407,1.0209,0.8106
408,0.8005,0.8137
409,1.4111,0.8250
410,1.0811,0.8307
411,1.4733,0.8544
412,0.5048,0.8523
413,0.9968,0.8392
414,1.4604,0.8533
415,0.8002,0.8477
416,0.8559,0.8593
417,0.3348,0.8653
418,0.2905,0.8659
419,0.7019,0.8712
420,0.9186,0.8584
421,0.6569,0.8491
422,1.2810,0.8571
423,0.9387,0.8564
424,0.6591,0.8454
425,1.0750,0.8481
426,0.2844,0.8452
427,1.4742,0.8431
428,1.0948,0.8525
429,0.1969,0.8492
430,0.9641,0.8423
431,1.9747,0.8719
432,0.5261,0.8855
433,0.8100,0.8951
434,0.7336,0.8951
435,-0.1776,0.8730
436,0.8481,0.8742
437,0.2793,0.8617
438,0.8302,0.8597
439,0.5484,0.8540
440,1.0440,0.8581
441,0.7559,0.8499
442,0.1557,0.8476
443,-0.0937,0.8220
444,0.0080,0.8026
445,0.3295,0.7986
446,0.1489,0.7803
447,0.5564,0.7677
448,0.8053,0.7600
449,0.3185,0.7609
450,0.3616,0.7380
451,0.2304,0.7370
452,-0.0902,0.7143
453,0.4702,0.6992
454,0.3097,0.6889
455,0.1154,0.6806
456,0.3579,0.6686
457,0.2040,0.6523
458,-0.1159,0.6340
459,0.4104,0.6140
460,-0.2489,0.5874
461,0.7548,0.5730
462,0.4160,0.5712
463,0.5394,0.5621
464,0.5090,0.5430
465,0.2415,0.5319
466,0.3711,0.5222
467,0.0558,0.5166
468,0.0313,0.5114
469,-0.1922,0.4935
470,0.2000,0.4792
471,0.1497,0.4690
472,-0.1477,0.4404
473,-0.0522,0.4206
474,-0.2300,0.4028
475,0.0434,0.3822
476,0.7258,0.3910
477,0.2653,0.3669
478,0.5371,0.3557
479,0.4816,0.3614
480,-0.1015,0.3401
481,-0.0976,0.2986
482,-0.1100,0.2859
483,0.5075,0.2799
484,0.2208,0.2696
485,0.3857,0.2809
486,0.0520,0.2650
487,0.4032,0.2674
488,0.7462,0.2658
489,-0.4654,0.2455
490,0.4371,0.2333
491,0.2301,0.2228
492,0.1935,0.2236
493,-0.3447,0.2186
494,0.0756,0.2199
495,0.5490,0.2243
496,0.3715,0.2288
497,-0.2604,0.2124
498,0.3200,0.2027
499,-0.0652,0.1950
500,0.5209,0.1982
501,0.3678,0.2010
502,0.3676,0.2101
503,0.4343,0.2094
504,-0.1563,0.2001
505,0.7563,0.2129
506,-0.1991,0.2018
507,0.1600,0.2009
508,0.2750,0.2087
509,0.2298,0.2051
510,-0.6697,0.1967
511,-0.4730,0.1721
512,0.3536,0.1709
513,0.0684,0.1615
514,-0.2616,0.1460
515,-0.3228,0.1348
516,-0.1189,0.1250
517,-0.2842,0.1182
518,0.0591,0.1187
519,0.1857,0.1263
520,0.0926,0.1241
521,0.1473,0.1241
522,0.4035,0.1351
523,0.2153,0.1404
524,0.4897,0.1548
525,0.4743,0.1635
526,0.2349,0.1536
527,-0.2362,0.1436
528,0.5592,0.1441
529,0.1938,0.1383
530,0.4077,0.1485
531,-0.3635,0.1432
532,0.3790,0.1529
533,0.5198,0.1532
534,-0.4203,0.1404
535,0.1867,0.1364
536,0.4592,0.1445
537,0.2592,0.1417
538,0.2146,0.1310
539,0.3616,0.1476
540,0.5806,0.1504
541,0.3086,0.1520
542,0.3053,0.1542
543,-0.2652,0.1558
544,-0.0759,0.1528
545,-0.1867,0.1381
546,0.7606,0.1459
547,-0.0058,0.1509
548,0.0573,0.1457
549,-1.7796,0.1114
550,0.0664,0.1023
551,0.3375,0.1017
552,0.3072,0.1005
553,0.3817,0.0995
554,0.3527,0.1096
555,-0.1529,0.0914
556,0.2343,0.1001
557,-0.1904,0.0931
558,0.1163,0.0899
559,0.3472,0.0923
560,0.2745,0.1112
561,0.1848,0.1243
562,0.1577,0.1204
563,0.2082,0.1232
564,0.0030,0.1285
565,0.2886,0.1407
566,0.5041,0.1532
567,0.6968,0.1728
568,-0.1097,0.1694
569,-0.1806,0.1621
570,0.2515,0.1653
571,0.1895,0.1661
572,0.8243,0.1745
573,-0.0194,0.1698
574,0.5664,0.1714
575,0.4504,0.1709
576,-0.0495,0.1652
577,-0.1238,0.1675
578,0.2817,0.1619
579,0.0862,0.1598
580,0.1687,0.1550
581,0.1841,0.1659
582,0.2226,0.1628
583,0.2704,0.1578
584,0.4845,0.1759
585,-0.2508,0.1672
586,0.4936,0.1678
587,0.0359,0.1634
588,0.2241,0.1636
589,-0.3982,0.1484
590,0.1574,0.1399
591,-0.2513,0.1287
592,0.3025,0.1287
593,0.2742,0.1394
594,0.3213,0.1474
595,-0.0851,0.1494
596,0.0855,0.1359
597,0.5603,0.1472
598,0.0286,0.1467
599,0.5126,0.1925
600,20.4988,20.4988
601,51.0863,35.7925
602,40.5000,37.3617
603,83.8776,48.9907
604,51.4176,49.4761
605,51.3367,49.7862
606,9.7667,44.0691
607,42.0142,43.8122
608,50.7398,44.5820
609,62.0105,46.3248
610,60.1249,47.5794
611,60.5622,48.6613
612,30.2946,47.2485
613,63.0185,48.3749
614,21.8934,46.6095
615,71.8726,48.1884
616,49.7272,48.2789
617,40.2351,47.8320
618,31.1252,46.9527
619,42.1056,46.7104
620,59.9953,47.3430
621,90.7759,49.3172
622,11.7137,47.6823
623,41.9262,47.4424
624,91.4200,49.2015
