episode,return,return_ma50
265,232.0897,379.0411
266,442.9130,380.6533
267,381.8993,380.7657
268,351.8926,380.7392
269,361.7042,380.7974
270,379.9674,383.5322
271,212.3057,378.9818
272,434.9530,380.7792
273,289.6797,380.7089
274,403.5051,380.7033
275,247.2693,378.3750
276,416.9075,377.1853
277,383.6754,376.5867
278,436.3323,380.6144
279,376.2015,379.3128
280,242.0255,374.7700
281,492.9594,376.2218
282,359.8200,375.9387
283,459.0079,376.5184
284,403.6364,377.0493
285,415.5469,377.5588
286,345.7160,381.1085
287,352.3408,379.1732
288,324.2032,376.4250
289,203.5559,371.3999
290,313.1724,368.0172
291,467.1733,369.5241
292,349.2660,367.3574
293,429.1100,366.6958
294,462.0622,368.8446
295,422.4031,370.6796
296,419.8488,373.9435
297,353.9950,375.2073
298,380.3996,380.5550
299,470.4972,380.0299
300,320.5707,379.5518
301,203.8508,375.6344
302,440.3313,375.5321
303,344.6648,374.8727
304,428.2027,374.3802
305,422.3539,374.3399
306,435.2309,374.2368
307,501.5797,376.0761
308,452.0893,376.6121
309,375.1886,376.5601
310,311.4843,376.4681
311,429.3498,376.4899
312,299.8958,376.8934
313,341.2375,375.2508
314,383.6853,374.1550
315,471.7728,378.9487
316,488.6160,379.8627
317,375.1354,379.7275
318,432.7878,381.3454
319,456.5674,383.2426
320,212.4789,379.8929
321,396.4234,383.5752
322,452.6665,383.9295
323,355.1874,385.2396
324,409.1658,385.3529
325,302.4112,386.4557
326,462.7524,387.3726
327,375.0954,387.2010
328,242.6947,383.3282
329,328.4853,382.3739
330,492.5389,387.3842
331,343.9954,384.4049
332,445.3478,386.1155
333,382.0973,384.5772
334,378.7083,384.0787
335,473.6176,385.2401
336,426.1824,386.8494
337,455.4254,388.9111
338,409.3091,390.6132
339,251.0674,391.5635
340,474.8748,394.7975
341,393.6436,393.3269
342,458.8224,395.5181
343,402.6584,394.9890
344,306.7822,391.8834
345,326.0241,389.9558
346,393.4768,389.4284
347,332.3747,388.9960
348,146.8376,384.3248
349,399.2041,382.8989
350,396.9455,384.4264
351,329.3710,386.9368
352,214.1710,382.4136
