episode,return,return_ma50
265,398.6161,384.3198
266,278.4466,381.1695
267,290.4773,379.6698
268,421.1970,381.0946
269,386.7329,381.0531
270,483.7369,381.7356
271,485.4640,382.2732
272,387.8454,380.2861
273,455.3940,384.2496
274,391.7451,383.7898
275,197.5618,378.2429
276,498.0000,379.0666
277,355.8020,378.9048
278,387.2905,377.9920
279,150.8530,371.5469
280,454.6607,372.1125
281,399.7367,376.1054
282,299.4847,372.5345
283,383.6066,376.5269
284,454.3447,375.9439
285,339.5094,374.0845
286,323.3627,371.7422
287,109.9817,366.0140
288,160.8023,362.5030
289,353.1858,362.0700
290,465.3263,363.2979
291,457.2610,364.1311
292,341.9503,362.1061
293,401.5294,360.4992
294,494.3781,362.3846
295,274.1035,361.8469
296,374.3423,361.5278
297,267.1748,360.2741
298,461.2264,360.5263
299,429.2729,363.2425
300,365.0100,362.3954
301,389.1642,363.7687
302,422.4977,364.3686
303,372.8560,365.2756
304,364.6785,365.3161
305,476.8339,365.1445
306,293.6574,363.3110
307,448.9215,363.9630
308,435.6200,366.3443
309,250.5862,362.5258
310,276.6030,362.1164
311,434.5653,362.0756
312,343.7043,364.8324
313,329.2188,365.4449
314,359.1420,367.5492
315,80.1287,361.1795
316,375.4255,363.1191
317,388.5530,365.0806
318,468.2723,366.0221
319,338.5917,365.0593
320,162.8819,358.6422
321,278.3207,354.4993
322,380.8884,354.3601
323,400.0945,353.2542
324,349.9325,352.4179
325,229.4145,353.0550
326,433.6479,351.7679
327,346.0446,351.5728
328,346.4860,350.7567
329,479.8598,357.3368
330,255.4257,353.3521
331,373.8062,352.8335
332,313.5939,353.1157
333,430.0610,354.0448
334,452.7621,354.0131
335,332.0529,353.8640
336,382.9737,355.0562
337,421.9415,361.2954
338,334.1434,364.7622
339,460.3342,366.9052
340,319.0489,363.9797
341,392.9613,362.6937
342,254.4661,360.9440
343,487.9552,362.6725
344,277.6507,358.3379
345,359.3309,360.0425
346,476.4445,362.0845
347,455.8095,365.8572
348,473.8606,366.1099
349,363.6189,364.7968
350,131.9585,360.1358
351,454.7663,361.4478
352,296.0685,358.9193
353,433.6553,360.1352
354,266.1328,358.1643
355,108.9155,350.8060
356,248.8761,349.9103
357,353.4417,348.0007
358,395.6142,347.2006
359,420.2361,350.5936
360,397.8717,353.0190
361,215.6573,348.6408
362,265.2865,347.0725
363,428.6076,349.0603
364,368.8324,349.2541
365,468.5355,357.0222
366,414.3830,357.8014
367,350.9956,357.0502
368,283.3586,353.3519
369,341.5458,353.4110
370,416.9036,358.4915
371,426.5421,361.4559
372,355.6025,360.9502
373,447.5137,361.8985
374,322.6247,361.3524
375,400.7164,364.7784
376,278.0543,361.6666
377,359.0363,361.9264
378,468.3720,364.3641
379,461.5147,363.9972
380,288.3669,364.6560
381,441.3090,366.0061
382,391.8786,367.5718
383,404.3473,367.0575
384,399.0790,365.9839
385,178.9822,362.9224
386,329.6835,361.8566
387,439.4804,362.2074
388,432.8976,364.1825
389,449.5364,363.9665
390,433.0526,366.2466
391,451.2401,367.4122
392,361.9639,369.5621
393,483.2784,369.4686
394,472.7837,373.3713
395,201.4065,370.2128
396,306.6278,366.8164
397,382.8254,365.3568
398,381.1392,363.5023
399,350.3748,363.2375
400,354.8325,367.6949
401,234.2775,363.2852
402,309.8709,363.5612
403,420.5225,363.2985
